VMName;RAM;RAM_percentage;RAM_LastAvgUse_Gb_SD;CPUCount;CPU_percentage;CPU_LastAvgUse_MHz_SD;NETWORK_LastInboundAvgUse_Kbps_P95;NETWORK_LastInboundAvgUse_Kbps_SD;NETWORK_LastOutboundAvgUse_Kbps_P95;NETWORK_LastOutboundAvgUse_Kbps_SD
122341_ICONOCIMIENTO_PRUEBA;12;34;0;8;0;4;7;0;0;0
122813_WIN_2008_R2_ENT (d5ae930a-707a-4cfe-9ea4-d2964f5edb27);4;100;0;2;11;122;8;11;8;16
123042_CLSCLBSQZVM;8;100;0;4;12;83;714;64;111;12
126400_FUNDACION_PLAN_WIN_2012_STD (ace51156-4fa2-443c-9594-8c636e152637);12;100;0;8;1;29;13;7;35;128
126405_FUNDACION_PLAN_WIN_2012_STD_NEW (787e64fa-772e-4fa3-bda3-7a742490e240);14;100;0;4;11;258;59;133;51;40
127590_COSINTEL_OVF_RESOTRE (806d96db-40b9-446d-98f5-a94b01c024bf);16;99;3;6;8;369;54;30;295;256
128236_YELLOW_PEPPER_CENTOS_7 (318d1c72-8a31-4cc9-b0b7-56a77f331464);16;98;0;2;5;64;0;2;74;100
128390_TL_GROUP_CENTOS (5331099a-e543-4666-a24c-bc71a23fc654);2;94;0;2;3;46;374;151;341;144
129981_YP-DEV205 (484cbadc-79ab-464b-b5ca-1aa474034498);8;99;0;1;13;90;0;9;43;72
130192_STG-APP02-01 (7d5017fc-4e1a-4749-9f60-26b080f94b37);8;98;0;1;20;123;11;118;92;142
130193_STG-APP02-02 (d2d9e87c-dbe0-4775-acae-94e5b3444311);8;99;0;1;20;130;11;12;89;114
130201_STG-DB02-02 (16153009-d545-4b8d-87be-45c68742a4f7);8;99;0;1;3;43;0;12;0;0
131043_NSX Manager 6.0 ARG;16;96;3;2;6;69;13;61;3;8
131538_VMware vRealize Log Insight 2.8;16;100;0;8;44;532;267;39;0;0
132250_VCENTER_TMK_ORACLE_1;8;95;1;2;43;641;106;39;97;10
132250_VCENTER_TMK_QnQ_6.5;10;72;1;2;107;1641;42;11;95;33
132250_vCloud_Director_CO_Cell_1;4;87;0;4;4;97;113;111;84;31
132250_vCloud_Director_CO_Cell_1_CENTOS_7;8;43;1;4;21;738;0;0;0;0
132250_vCloud_Director_CO_Cell_4_CENTOS_7;8;97;2;4;118;4062;240;121;107;41
132250_vCloud_Director_CO_NFS;4;85;1;4;2;20;0;41;0;20
132736_CPP_TESTING_WIN_2012_R2_STD (af7a6983-7303-415c-9c66-0a33ea65796f);16;100;1;8;52;3441;131;122;142;68
132808_TELEVISTA_WIN_2012_R2_STD (ff6e76cd-b35d-4120-91f3-a5d0f6eb0771);16;20;0;4;1;12;0;0;1;0
133737_INTERNATIONAL_WIN_ST6D_8172018;2;9;0;1;119;9;0;0;0;0
133871_PRD-DB02-01 (d7ac67b5-c9b9-4842-9ab2-73b4ed2d5763);32;99;1;4;13;202;36;13;88;516
133875_STG-APP04-01 (d1298836-36a9-4d7a-b313-6111a4f3b93e);24;99;1;4;61;2176;120;50;100;90
135867_ATOS_VirtualServer (92718be1-e08d-4b3b-955a-babe9717d8cc);1;99;0;1;3;9;214;51;212;52
135867_ATOS_VirtualServer (b094c6ab-dfd5-41e1-a9e3-41e455691ecc);1;99;0;1;4;18;124;27;119;27
135869_ATOS_AppServer (50379b97-8b83-4498-8056-458ee12b2802);5;97;1;2;2;16;11;2;3;1
135871_ATOS_AppServer (b33636c5-3971-4f14-8aac-581865250cf5);8;99;0;16;13;1985;9;5;5;4
136463_CONSEJO_NORUEGO_UBUNTU_SERVER_14.0 (385b572c-4c43-4277-9418-a17ed7886894);8;100;0;2;19;396;0;5;12;45
137206_INSACOM_DEBIAN8_dic (426c0dfb-5376-4193-b33a-47ab82662ab9);2;100;0;4;2;88;1214;517;42;18
143083_WINDOWS_SERVER_2012_R2_STANDARD;4;100;0;1;36;337;11;30;24;20
143083_WINDOWS_SERVER_2012_R2_STANDARD (10af2457-440a-4705-a6c4-3f0fa25fc63e);4;100;0;1;36;278;10;3;21;7
144319_CENTOS_SERVER_7.0_64Bits (8b33d5e7-b27c-4dee-b77e-060d2db72a6a);12;99;0;4;80;2625;8;3;454;170
144696_1111FSMOLINO (f9f9d540-6190-4268-aba4-775fe140bbfc);24;100;0;8;5;376;678;299;1105;458
144696_1111FSMOLINO (f9f9d540-6190-4268-aba4-775fe140bbfc);24;100;1;12;11;890;1319;506;1423;529
144697_1000RDPMOLINO (25163027-f449-4430-87c3-679241b5b100);128;100;2;32;38;9853;1621;596;796;360
144697_1000RDPMOLINO (25163027-f449-4430-87c3-679241b5b100);128;100;0;64;19;4194;318;57;340;79
144732_1111SRVSwif_New;4;100;0;2;7;90;3;4;4;2
144738_CENTOS_7;12;98;0;4;9;199;53;23;24;11
144740_1111ASISFINAN11111 (fd2d9772-aa90-4e89-ad0c-1ac1934c2570);4;100;0;2;9;191;12;12;12;8
144745_1200RDPCORAME_Win2012R2 (28740c8e-48b1-4648-9998-86d5287bf9eb);64;100;0;24;29;5862;500;206;392;164
144745_1200RDPCORAME_Win2012R2 (28740c8e-48b1-4648-9998-86d5287bf9eb);64;100;1;30;23;5179;554;381;436;289
144769_5100FACELECU02_WIN_2008_R2_ENT_ECU (efb079f4-8952-4f87-8fcf-b32504dc1524);4;100;0;2;7;137;8;17;105;107
144770_DC_WIN_2012_R2_STD (5c8f81b5-072f-4cae-a669-85218b88c1f4);4;100;0;2;2;55;2;15;5;2
144771_6000RDPPAPELERA (b92ff81f-7dc3-4585-98c5-a646ecb1a4e0);64;100;0;24;32;6457;902;351;288;106
144775_RDP_CLONE (395c239b-0dba-4eff-b85a-521c64a96b70);64;100;2;30;18;4074;423;154;189;67
144777_33FACINPACODES (c49ec794-b8fe-43eb-8a5e-cdc7a6fa967a);2;100;0;1;3;23;0;0;0;0
144785_98CENTOS11 (470ddd4a-3934-413b-8e35-e708ee5d6881);16;79;0;8;1;45;0;13;0;11
145776_TELERADIOLOGIA (a544bb56-7219-4b24-8868-bd9ea331f70b);4;96;0;4;6;261;2155;847;116;66
147298_WINDOWS_SERVER_2012_R2_STANDARD_64 (6fb7ef39-cb6c-431e-88ac-e7bf8a328708);4;84;1;2;6;79;1148;428;93;38
147549_WINDOWS_SERVER_2008_R2_STANDARD_PROD;12;100;0;4;22;743;11;26;83;86
148230_CENTOS_SERVER_7.0_64Bits (38f4f5bb-5dfb-429c-a0db-a853cec930cd);16;99;0;4;43;1432;0;0;0;0
148314_MRM (a6a2246f-4bbc-4195-acb0-36a28ccbabab);8;64;1;2;1;9;0;0;0;0
149171_KARWICK (f86ab6d8-0da1-444e-b352-4c653abe9c04);1;100;0;1;22;72;3723;751;3750;752
149839_a4bd (6c25d1df-e31b-4700-8562-2ce34d8b7b61);10;99;0;4;31;915;278;121;333;310
149839_aglbd (567bf689-4890-4894-8893-5aa8f8e30298);32;100;0;6;25;926;414;135;347;814
149839_internobd (c763854b-5a43-454f-a35d-b884bbe471e1);8;98;0;2;7;266;110;42;633;180
149839_qa (ac7040f2-00e6-4cc9-b061-7e834ee7a765);8;98;0;1;10;118;10;642;15;387
149839_qacorona (91324a98-4d02-4d28-9e00-9eba9821e807);3;81;0;2;0;1;0;0;0;0
150453_BD_INVAMER_restore_15_03_2019;16;14;0;8;1;40;0;0;0;0
150786_BALDER_PRTG (6e340f9e-3a5f-4e13-b327-a3cdfb939441);8;100;0;2;52;524;90;33;37;12
150786_IDUNN_WS2012R2 (054e27fc-d37e-4fc4-aed4-8293721d45fc);6;100;0;2;45;818;7;15;26;92
150786_SIF_PRTG_WS2012STD (83243885-0db5-4e08-9acd-62a51d71a02c);6;100;0;2;86;1079;84;74;76;94
150786_SKADI_PAM (5aa12e25-79b1-4eb3-bd19-9095b4e02396);4;99;0;2;38;416;300;93;459;139
155679_CLSAWBDWPP01 (5b725f1d-54b1-4752-92a7-14e431fa9531);4;98;0;2;1;16;4;2;402;175
155683_CLSAWSLP01 (f3278204-fb96-42f9-94c5-2531a0f71543);8;100;0;4;7;172;300;144;16;14
155686_Produccion - CLSAFCP01 (40cd5b46-1b00-4a38-a21c-352b9a5d0b0c);4;100;0;2;15;149;9;21;7;18
156289_CENTOS_SERVER_7.0_64Bits (19b0bcf5-8d2d-49f8-a294-e251f9df1daf);4;96;0;4;5;127;348;100;358;106
160152_SAP_WEISZ (168e01c6-bc6e-4db8-8fbc-b27cceb4a8ae);64;100;0;16;3;209;44;80;119;128
162580_TM520000005 (4550977f-6dc2-4622-9333-9c74ce5600d2);60;100;0;16;31;3739;322;161;560;314
162771_TM502200252_2012;31;103;0;8;13;1904;12;5046;17;1190
162780_TM527200064 (556d946b-f568-4d19-a1ee-7a2a83bfaccf);12;100;0;12;46;4637;100;343;101;298
162788_TM502200107 (28cef985-52a3-4eb9-abca-b466c9ed05d8);24;100;0;12;0;170;1;1;0;0
162796_TM520200012 (e8e52432-720a-40d8-b2d7-d24a0258f98d);32;93;5;8;55;2646;152;350;285;143
162797_TM502200013 (30a3d72b-8e85-434e-86b9-bc80442aaeb9);24;88;1;16;0;32;54;22;43;18
162798_TM512200014 (f7623b9e-97be-4a38-b686-e748b9694904);24;96;1;16;9;935;1444;1021;2367;1432
162805_TM502200067 (cbbc50d9-6067-470f-beff-0bb660824611);12;100;1;12;20;1766;1215;514;1205;472
162806_TM527200069 (b04d383e-90ce-4e03-85bf-bf0cf93317f1);12;100;0;24;6;895;486;865;622;350
162815_TM502200109_27042018;12;100;0;12;13;35;0;0;0;0
162824_TM520200152 (749b2da5-1c08-43c5-ba5a-73f143276d3b);12;100;0;8;1;31;20;11;12;7
1635605_CentOS_SERVER_7.6_64Bits;4;94;1;2;1;33;0;4;0;2
164388_PF_DEL_MT_cl_Web_App (6c249489-278e-44fc-bdc6-4c7e547b7529);4;100;0;2;30;425;133;325;229;182
164563_GX_co_Web_App (38f1beb7-fe46-43ce-941a-a13abef09652);4;100;0;4;5;266;53;43;55;43
164708_FE_cl_Web_App_Arauco (c4b76680-84b8-4f97-a613-b33c86aede2c);4;100;0;2;5;84;1;2;2;3
164710_FE_cl_Web_App (b3474507-87b1-4ff3-95bc-8ff5989c2501);32;100;0;8;14;1666;47;22;55;24
165326_SUSE_HANA_12_SP2 (5005b593-0a0f-42d4-8ffa-326d8fc01793);1011;43;0;12;16;0;673;0;2435;0
165331_SUSE_LINUX_12_SP_2_DEV2 (79ed85bb-1e8f-4680-ba8c-377cdf23574d);24;100;1;4;26;696;342;332;69;208
165622_SUSE_LINUX_ENTERPRISE_SERVER_12_64 (702e33d7-5e32-48e7-bcbf-aca4b7cc4705);384;100;35;14;13;1343;304;60158;724;121078
166324_MASTER_LCTL_SAS_WIN_2012_R2_STD_WD (f7f73bb2-7d09-4061-8cea-3568527a5495);8;100;0;4;16;551;11;120;22;70
168071_SUSE_SAP;128;100;36;32;9;4889;51;149;260;311
168089_WMASTER_LCTL_SAS_WIN_2012_R2_STD_A (b1a9a542-7058-4448-98e1-ca0499472369);8;59;0;4;1;5;3;1;3;1
168117_Task;6;100;0;4;2;341;6;3;99;36
168117_Task_Prueba;6;100;0;4;1;19;3;1;0;0
168119_Softland_10012018;8;100;0;4;5;132;8;13;25;23
168121_PortalWeb (39f2e1c3-fde9-4a29-ae45-28f6ce5493f9);8;100;0;2;6;122;1;131;1;43
168132_Data;8;100;0;4;5;57;0;1;2;5
170259_BIBA_EL_CORRAL (312b8298-f748-4b89-92f7-1e0a307843b3);56;99;4;8;29;1813;215;391;120;2152
170411_ATLAS (95f16a09-90a6-46e6-888e-aec0d8b40132);10;98;1;4;12;378;839;393;74;116
170412_MARCACIONES (5b0fa64c-49f1-4400-b40e-ddd1406a9a40);4;100;0;2;5;295;0;13;0;2
100180_UBUNTU_SERVER_12.04_LTS_64Bits_test_desarrollo;4;22;0;4;0;2;0;0;0;0
100180_UBUNTU_SERVER_12.04_LTS_64BITS_test_desarrollo;8;20;0;4;1;30;1;2651;0;6298
100635_FUNDACION_CIDCA_WINDOWS_SERVER_200 (6cda260c-d792-4fbf-92a0-1fc1a6f8600f);8;50;1;4;2;81;1;0;22;9
1006693_WINDOWS_SERVER_2016_DATACENTER_64 (422291ae-5fac-4b7c-b822-7fab55fbec02);4;100;0;2;80;1471;292;123;2;1
100852_SERFIN_sdcorferrinicloud_NEW;16;98;4;8;5;315;0;2;1;25
101166_MY_CRM_HOST_CENTOS_6.5_x64 (9ee66189-2b6c-471f-a605-8a58f081817f);4;41;0;2;1;11;0;1;1;10
101632_MY_CRM_HOST_CENTOS_6.5_x64 (c986f58a-0070-47fb-8a57-b275472e6618);4;25;0;2;1;14;0;1;1;10
107477_DEBIAN_6.0.8_64Bits (7a7dbc30-1660-451d-bc73-579f1b410a7e);4;98;0;4;16;564;50;18;30;787
107478_DEBIAN_6.0.8_64Bits (f9818b32-6159-49d4-a272-8a482b183fd3);4;98;0;2;14;200;37;15;58;21
108469_PARKING_TEST_SIP (79690485-a978-4ea6-a1c7-cea364c600ca);32;100;0;12;30;3344;1;613;2;9
109451_AFIANZADORA_NACIONAL_SA_CENTOS_6.5 (12549e8c-24aa-496f-a96c-dacdd3efb846);6;97;0;4;32;992;12;8;128;211
111172_WINDOWS_SERVER_2012_R2_STAND (7db9f893-185e-46df-a04f-268960b26749);4;88;1;2;4;258;4;2;13;84
111218_WIN_SER2012ST (939c9456-de13-47cf-a563-3b0cebf3e1e6);8;100;1;4;6;362;36;38;134;98
113428_PROFESIONALES_CentOS_6.6_Bits (bf706566-bf1c-4d1b-ab73-e7556eb53477);16;83;0;4;13;937;87;324;83;155
113430_PROFESIONALES_CentOS_6.6_Bits (fddde0a8-ed2e-4c75-a64e-a3999b973f32);8;98;0;2;0;14;39;117;40;125
113446_DEBIAN_6.0.8_64Bits;4;98;0;2;116;504;15;5;20;8
114618_WINDOWS_SERVER_2008_R2_STANDARD_64Bits;2;100;0;1;27;327;0;4;1;39
115294__EXPRESS_VPN_LLC_UBUNTU_14 (b7786774-c5a1-4eca-a247-863db2f3eba0);4;98;0;2;67;428;4908;1280;5090;1334
115294__EXPRESS_VPN_LLC_UBUNTU_14 (b7786774-c5a1-4eca-a247-863db2f3eba0);16;80;2;2;62;453;4962;1159;5254;1228
