VMName;RAM;RAM_percentage;RAM_LastAvgUse_Gb_SD;CPUCount;CPU_percentage;CPU_LastAvgUse_MHz_SD;NETWORK_LastInboundAvgUse_Kbps_P95;NETWORK_LastInboundAvgUse_Kbps_SD;NETWORK_LastOutboundAvgUse_Kbps_P95;NETWORK_LastOutboundAvgUse_Kbps_SD
172641_SVR-PRD-BIZUIT_WIN_2008_R2 (5bf2518b-1305-4523-acc8-c2bb20710248);8;100;0;6;27;1450;367;291;610;277
172641_SVR-PRD-WEB_WIN_2008_R2_X64 (6caf8669-5b0d-4c1f-94cf-0974610fd389);16;100;0;6;73;2936;304;68;1132;272
172641_SVR-TST-SQLPRB_WIN_2008_R2 (b92583a7-1146-4502-8906-c16d525fd349);5;100;0;4;41;1097;269;279;16582;6222
172641_VRT-PRD-EXTRANET_WIN_2008_R2_ENT (f8a2059e-974c-43a8-829f-a23b936e852c);4;100;0;2;34;476;23;66;21;10
172641_VRT-PRD-HYPERV (62a32576-8b9e-41cb-be69-c2bddd0c1827);4;100;0;4;7;370;26;54;11;26
172641_VRT-SQL-APP08;6;100;0;4;21;730;10;38;11;193
172641_VRT-SQL-SEVIN_WIN__restored_2310;12;95;1;8;9;515;291;83;0;0
172641_VRT-SQL-SEVIN_WIN_New;12;100;0;8;35;1995;273;109;981;678
172641_VRT-SQL-SEVIN_WIN_New_temp;12;98;0;8;35;1963;592;234;2316;1012
172641_VRT-SQL-TFS_WIN_SRV_2012_x64 (2f571735-07b8-432f-b237-54c5ffaf3397);16;100;3;2;11;121;28;8;178;49
172641_VRT-SQL-TFS_WIN_SRV_2012_x64 (2f571735-07b8-432f-b237-54c5ffaf3397);16;100;2;4;40;1165;62;29;252;85
172641_VRT-TST-DB1_WIN_2008_STD_x64 (b6cc994a-0361-470a-9023-9c509c2cf706);6;100;0;6;22;1263;10;106;31;121
172641_VRT-TST-DB3_WIN_2008_STD_x64 (ea3330e9-b00e-43b7-a803-972c8347bf29);6;100;0;6;9;613;9;10;247;199
172811_GDS-SER-SQLTRANS (3c996c9e-1dbd-4ef5-b362-1b474399d292);8;100;0;2;44;835;123;185;250;163
173719_SAP_ ERP_ QAS (5b587f64-3176-469f-887c-e0b4636280c8);40;92;0;14;9;1336;98;95;46;53
175348_SUSE_SP4 (33648b8a-ff43-474a-adda-3ba8445085c0);30;80;1;4;1;14;0;0;0;0
175350_WIN_SERVER_2012_R2_STANDARD_64Bits (bf22ca8f-a4bd-469c-ad73-6d26165bc73e);30;98;2;4;6;100;3;7;1;15
175368_WINDOWS_SERVER_2012_R2_STD (d1590263-7e28-4cf9-b450-6a224a3a433a);2;100;1;2;1;23;1;8;1;1
178821_SUSE_SAP_PERCOMIN (c5b1fcdb-537c-40d6-955c-76536095ac1e);128;100;5;32;63;17744;37;18;73;742
180218_BOG-WEB-23-ICA (616483d3-8331-4f55-8ed8-64b9d0336268);32;85;5;12;2;166;70;328;63;92
00000_CENTOS_SERVER_6.9_64Bits (89031d9a-c441-4d4b-a55a-7fa9cf753b31);4;32;0;4;0;94;0;0;0;0
000000_WINDOWS_SERVER_2012_DATACENTER_64Bits;4;97;0;4;1;3;0;0;0;0
100634_FUNDACION_CIDCA_WIN_2003_32BIT_NEW (7dee5a5a-6733-476e-9f5c-ee0acfb4af91);24;100;0;12;10;1420;0;99;2;102
100636_WINDOWS_SERVER_2012_R2_STANDARD_64 (9fb4fa42-d175-486d-ad9c-12db0954f54b);24;100;0;12;15;1375;15;18;299;682
100852_SERFIN_sdcorferrinicloud_NEW (1f81d5ac-4b08-41ee-bb6b-91b60c7e9f63);16;100;1;8;102;5703;46;11;324;108
101315_IIIS_WIN_2012_R2_STD_NEW;4;100;0;4;9;334;28;30;26;75
108466_PARKING_DEV_SIP_NEW;14;100;1;4;83;2173;89;801;669;334
108468_PARKING_PRD_INFORMES_SIP_new;16;100;0;8;4;307;9;26;9;21
111150_WINDOWS_SERVER_2012_R2_STAND (6c576470-2c67-4d55-b8e3-c0b397430fed);28;100;2;8;25;1145;181;56;103;23
111150_WINDOWS_SERVER_2012_R2_STAND _restored;24;61;0;8;11;479;136;52;87;146
111177_WINDOWS_SERVER_2012_R2_STAND;36;100;0;8;18;929;1116;16051;865;143623
111177_WINDOWS_SERVER_2012_R2_STAND (9c430cae-4f2e-4e60-8567-ac3bad26cb20);30;100;9;8;24;1730;332;794812;658;1146325
111218_WIN_SER2012ST (2eb56839-f91a-468f-827b-67f47a943bd1);8;100;0;4;9;282;42;31;153;78
111218_WIN_SER2012ST_4Abr;8;100;0;4;5;83;17;4;34;11
112133_GDS-SER-TS1_06082018 (43572c05-a9ac-44bb-a856-57c0f98dc056);16;100;1;4;65;2180;198;865;29;25
112136_GDS-SER-TS2 (732e6e8f-8a50-41b8-988a-fdfd687e87fa);8;100;0;2;29;588;214;380;58;43
112631_FUNDACION_PLAN_WIN_2012_STD1 (a13e926e-2d6f-4442-adbb-8a90f93de295);8;100;0;4;9;349;22;29;8;34
114148_FEEL_WINDOWS_SERVER_2012_R2_STAND (ea7b416f-790c-4317-8657-5fcc07d6b5fd);2;100;0;2;24;479;0;7;1;0
114618_ROCH_WIN_2008R2_STD (f05f534b-9542-4ea8-b233-5b94925909fd);2;100;0;1;20;304;0;3;1;102
115296_EXPRESS_VPN_LLC_UBUNTU_14 (37c14844-d2b9-4648-a0f4-53885cc788f2);16;52;1;2;24;197;2470;691;2550;707
115877_WINDOWS_SERVER_2012_R2_STAND;8;100;0;4;112;1108;946;287;250;75
115880_WINDOWS_SERVER_2012_R2_STAND (3b0b67b7-d97c-4069-b5fd-ed0c6b44832d);44;100;1;12;8;378;55;157;648;252
117125_PARKING_PRD_SIP;36;96;0;12;62;3429;11;2;26;17
117125_PARKING_PRD_SIP;40;92;1;12;25;499;10;2;10;3
117125_PARKING_PRD_SIP;48;92;1;12;28;711;19;107;27;8
120216_NSX_Manager_Peru_6.5;16;90;1;4;3;28;1;1;3;12
120216_VCENTERLIM_6.5;10;100;0;2;12;142;8;1;8;13
120220_COBOGTMKDLx6_NFS_PIVOTE;4;100;0;4;2;214;104;3320;9022;8533
120220_sap_hana_express_test;12;78;3;2;5;20;0;0;0;0
120263_COBOGWBPQUORECUSTOMER;4;100;0;4;13;563;2;8;2;7
120295_laboratorio_replicacion;4;100;1;4;0;2;0;0;0;0
120296_303-EDITORIALES_OWNCLOUD (b21df145-0fdb-4906-8d23-e75304fcb5eb);6;100;0;2;1;16;0;1;1;0
120532_PRICE_WIN_2012_R2_STD_PRUEBASHAIR;16;55;1;4;1;87;0;0;0;0
120644_FUNDACION_SAN_MATEO_VEEAM;4;100;0;6;11;406;12329;4560;6545;2321
120990_RTP-Proxy218 (b9b84726-f948-41bf-b5b2-2d01e67a278d);4;100;0;8;1;18;0;0;0;0
120990_S2_ASPECT_REDHAT_ENTERPRISE (09a1571b-6812-458b-a2fa-2055ca3abb4d);8;99;0;8;2;61;495;107;119;24
120990_VOIP02BK (07c2bd61-faeb-4e9b-8d55-d7022247505a);4;98;0;4;44;644;123;16;8;11
121138_ARASRVSP01_WIN_SERVER_2012;20;100;1;6;5;159;64;280;86;278
121851_FEDEPALMA_PROXYIFX (de0c612c-af5f-43c8-b37f-27ee12e3a6f3);4;100;0;4;88;1739;5;1;0;0
121851_FEDEPALMA_REDHAT2 (3b32c730-610e-40e8-9fca-2de732a4c6aa);10;99;0;4;21;587;165;72;3534;1065
121851_FEDEPALMA_REDHAT2REPLICA (54508657-1844-4e00-a94e-c7be0fe799b2);10;16;0;4;2;13;0;0;0;0
121851_FEDEPALMA_WINDOWS (6a765274-33a0-4d09-b62b-38db789e9b25);16;100;0;12;23;1317;513;148;2099;2515
121851_FEDEPALMA_WINDOWS_GEOMATICA (cf0401c0-e9b6-4edb-a7bb-626abd521f1a);16;100;0;4;36;965;44;54;19;25
121851_FEDEPALMA_WINDOWS_GEOMATICA (cf0401c0-e9b6-4edb-a7bb-626abd521f1a);32;100;3;4;13;552;32;18;24;65
121851_FEDEPALMA_WINDOWS_SERVER_2012_R2_1 (52de93d9-cb79-4ade-af71-89bd74feccb5);8;100;2;4;3;473;0;37;0;1
121851_FEDEPALMA_WINDOWS_ZFRSISPAV1_new (7e42a8d5-181c-40e0-b1be-8c0c5f32dcaa);6;100;0;4;3;158;7;5;2;2
121851_FEDEPALMA_WINDOWS4 (64575fd6-2c50-4d9e-81a2-03677bc5ece2);8;100;0;4;48;1543;18;5;23;9
121851_WINDOWS_SERVER_2012_STANDARD (4817af31-8f78-418b-804a-aa91831e745d);8;23;0;2;1;7;6;0;0;0
121993_cl.dns0.ifxnetworks.com;4;100;0;8;0;0;0;0;0;0
122125_CENTOS_SERVER_6.5_64Bits (32c350a8-8312-4aae-8c99-3f010fb11298);2;100;0;2;37;586;105;891;698;664
122126_EGLOBAL_TECHNOLOGY_WIN_SERVER_2012 (d98e0043-4f20-4553-be7c-afae7c6bfe44);4;100;0;4;16;401;67;15;389;133
122813_WIN_2008_R2_ENT_64Bits (121b1b3b-42fa-4602-82ce-fddb923e6c8f);4;100;0;2;8;137;5;18;20;8
122813_WIN_2008_R2_ENT_64Bits_7419;4;100;0;2;7;100;8;2;24;7
123997_CENTOS_SERVER_6.5_64Bits (7280f18e-ffb4-492b-92ad-5bff591026c0);4;95;0;4;1;57;0;2;3;6
124644_RTP_PROXY_CL (e91b7da0-65ce-44f8-845d-0e3e2bf57a09);4;99;106;4;48;175;8;2;0;0
126400_FUNDACION_PLAN_WIN_2012_STD_NEW (d6d136d1-b62c-4648-9edf-90285347d691);18;100;0;8;3;135;22;7;51;125
129288_CENTOS_SERVER_6.5_64Bits (0ab36ea8-726c-488f-8f9e-6d4ca70b0723);4;96;0;2;105;187;0;0;0;1
129976_PRD-APP04-02 (b77bf61d-a671-439a-94a3-7a2aa53ec5e6);20;99;0;6;42;3021;51;22;79;109
130189_YP-DEV204 (8e840d8d-591e-4670-9f43-f91e236eedd3);8;100;0;1;15;111;1;11;134;99
130190_PRD-MNG01-01_res;8;91;0;1;6;15;1;2;1;0
130194_STG-APP01-01 (0bf0b477-38c0-4f4a-b707-d0dce2139c93);24;99;0;4;5;284;3;26;51;79
130196_STG-MNG01-01 (b177f9a7-3638-4fa0-9897-5f18789d8503);8;98;0;1;3;39;1;12;2;0
130200_STG-DB02-01 (5afb7bfb-be2a-4254-b88c-eea4436bf2fa);8;98;0;1;3;56;5;22;45;99
130600_MENOCASH_CENTOS (82dc88f5-ae2e-4e03-8603-300b10ffe158);6;97;0;4;1;61;17;9;10;6
180221_RED_HAT_6.6_ORACLE_DATABASE_12C_OP;128;9;0;12;1;0;0;0;0;0
180223_DIRECTORIO_ACTIVO (802b9ab3-03ab-4f41-8a86-03da613172f9);8;44;0;8;1;34;23;9;32;12
180296_RED_HAT_6.6_ORACLE_DATABASE_12C_ST;64;100;0;12;62;5528;389;300;3441;5428
181240_CLONE2_WINDOWS_SERVER_2008 (7d56ebaa-1baf-4905-ac83-bbe64bb4f26b);8;100;0;4;39;947;1302;559;264;316
182325_TTMFS01_15Abr_Restore;4;100;0;2;43;689;47;730;123;266
182329_TTMPAY01_PAYROLL2_restore;8;100;0;4;30;1024;327;109;56;21
182987_Pluto (40501d42-f16f-4c61-9180-1a9d602814b9);8;100;0;4;3;82;227;82;132;103
183034_X3ERPV11VM_WINDOWS_SERVER_2016 (50aa1cfd-b65b-420c-a4a3-b773ede15bb7);16;100;0;8;51;1561;2;56;5;3
183078_SUSE_SAP_HANA_1_12112018_restored;64;8;0;16;94;16555;0;0;0;0
183438_SUSE_SAP_V2 (69a37e95-288d-4187-bc26-02a0761ff4a5);64;100;0;8;27;1396;37;15;165;46
183616_Oaky (3268318f-fb87-40f7-8756-0d99f5b07d0e);8;100;0;4;55;1456;373;818;214;110
183737_SUSE_SAP_HANA;64;98;0;16;8;929;0;0;0;0
184411_SUSE (daaf43ea-8408-4ec1-b1c5-03d9dcef80c5);24;100;0;8;56;2851;645;234;3650;1283
184570_ERP-DEV-QAS (aa38bdca-2abf-44f5-8c45-c15fa9e63e99);38;86;3;8;3;1188;280;617;80;426
184865_HANA-DEV-QAS (c12198b4-43c5-4a3f-8571-719505ef72de);1500;43;140;14;15;1294;41;308;146;238
184867_SUSE_LINUX_ENTERPRISE_SERVER_12_SP2_HANA_64Bit;1500;10;7;22;5;527;559;183;1352;405
184873_SUSE_LINUX_ENTERPRISE_SERVER_12_SP2_HANA_64Bit;32;97;7;4;2;43;0;0;0;0
185903_FENIX (e3cd6308-f3e3-4d9e-b682-aa246901af2c);12;98;0;8;2;56;384;85;754;167
187792_SUSE_SAP_HANA_23052019;64;41;7;8;16;1072;43;22;1914;974
187793_WIN_2012_R2_STD (ff488471-8c3f-4e09-8b2d-801354c8247f);24;100;2;8;46;3208;191;78;4206;1340
191911_REDHAT_ENTERPRISE_LINUX_7.0_64Bits;32;99;4;6;6;271;2195;613;647;271
402750_WINDOWS_SERVER_2012_R2_STANDARD_64Bits;12;100;0;4;9;854;34;474;177;369
406448_SRVTSCWTEST (480d5b9e-8a47-4131-b85d-12f81bcf875e);32;29;1;2;30;518;2;37;1;1
406448_SRVTSCWTEST (480d5b9e-8a47-4131-b85d-12f81bcf875e);32;29;0;4;1;41;0;0;0;0
418976_SUSE_LINUX_ENTERPRISE_SERVER_11_SP4_64Bit;64;76;0;8;1;26;13;4;0;0
422989_Capa_Web_1;32;81;3;8;3;242;3;27;5;60
422995_WINDOWS_SERVER_2008_STANDARD_SP2_64BITS;32;97;0;4;2;37;0;0;0;0
422999_WINDOWS_SERVER_2008_ENTERPRISE_SP2_64BITS;8;99;0;12;0;35;0;3;0;0
423002_WINDOWS_SERVER_2012_R2_STANDARD_64Bits;64;100;17;12;9;721;5233;1613;104;33
428314_SUSE_LINUX_ENTERPRISE_SERVER_11_SP4_64Bits;4;100;1;2;4;127;4;1198;7;18
437606_SUSE_LINUX_ENTERPRISE_SERVER_12_64Bit;24;100;0;6;11;609;691;262;323;124
440411_WINDOWS_SERVER_2012_R2_STANDARD_64Bits;8;100;0;2;5;156;1;1;1;2
448132_CENTOS_SERVER_7.0_64Bits;8;97;2;8;3;301;48;85;60;122
448133_CENTOS_SERVER_7.0_64Bits;100;16;3;12;0;59;0;0;0;0
120220_COBOGTMKPV01;20;100;1;18;29;4604;281326;117381;73096;57928
120220_COBOGWBPHEONSV02;8;100;0;4;1;20;2;1;0;0
120295_lyncphone_CLON (1b267af7-7909-4412-af3e-cffefc86ec38);6;76;0;8;1;26;27;9;21;8
120644_FUNDACION_SAN_MATEO_VEEAM;4;100;0;10;11;718;12334;5329;11975;3947
120978_Zimbra3_Produccion;24;99;0;16;31;3499;1027;310;1814;646
120990_S3_ASPECT_REDHAT_ENTERPRISE (a85fdcf8-876e-4a74-8294-7e24b68708a6);8;99;0;8;1;323;14;2;2;1
120990_Softswitch01;4;95;0;8;4;215;327;116;327;115
120990_SR1_ASPECT_REDHAT_ENTERPRISE (52e6a4f6-f116-406e-8248-e1773602ced6);4;100;0;8;0;22;1;10;0;0
120990_US-TERASDB;4;98;0;2;1;32;13;7;38;13
120990_VOIP01 (d309ba7c-11b0-426f-8f1f-d627b7586dd7);2;56;0;1;3;28;4;3;3;1
121158_CLOUD_WHITE_LABEL;16;100;1;8;3;65;33;35;28;7
121158_vCloud_Usage_Meter_34;4;106;0;4;42;835;1;0;0;0
121851_CENTOS_7.6 (4b3634ea-b7bf-4afe-b07c-dd1ed73f4d2b);8;100;0;2;27;506;0;0;0;0
121851_FEDEPALMA_REDHAT_6.5 (922f26fa-4005-4528-99c7-c04e8e698f5c);8;97;0;4;1;37;18;250;14;69
121851_FEDEPALMA_REDHAT3;8;86;1;4;2;34;11;30;0;9
121851_FEDEPALMA_WIN_2012_STD_64Bits (c388c473-ecf7-4528-9742-84a0a3fa6c9f);4;100;0;4;12;458;15;214;11;91
121851_FEDEPALMA_WIN_SRV_2012_R2_STD (3d74505c-66af-4a7f-a1c5-ddbb046d0ff7);16;100;0;2;18;172;11;3;0;86
121851_FEDEPALMA_WIN_SRV2012STD_100.64 (93d7cc47-8a15-46e5-bc60-62e7b873ee6c);20;100;0;14;78;7237;67;26;68;41
121851_FEDEPALMA_WIN_SRV2012STD_100.64_res;20;63;1;14;8;655;0;5;0;0
121851_FEDEPALMA_WINDOWS_SERVER_2012_STD_ (884c5a7f-953f-41e2-ae3f-fba56440b4ec);16;100;5;4;6;190;11;11;0;43
121851_FEDEPALMA_WINDOWS_ZFRPDCV2 (62d9abc2-152e-4883-b3f7-1c6d6580a438);4;100;0;2;18;248;22;18;33;20
121851_FEDEPALMA_WINDOWS3 984_07012017 (521ef813-2d51-4a1f-b394-4d7b85df6cc4);8;100;0;2;100;1202;0;1;0;0
121851_FEDEPALMA_WINDOWS3 984_07012017 (521ef813-2d51-4a1f-b394-4d7b85df6cc4);8;100;0;4;2;426;2;0;0;1
121851_FEDEPALMA_WINDOWS4_20052019;8;78;2;4;2;51;0;0;0;0
121851_FEDEPALMA_WINDOWS5 (e6d24fa1-5c33-46d1-9162-28162380596f);8;100;0;4;36;1340;259;105;106;62
121851_FEDEPALMA_WINDOWS5_CLONE (a89d7e36-2408-4baf-b17e-cad12ceb1d14);8;99;1;4;7;182;6;2;5;2
121851_WINDOWS_SERVER_2012_STANDARD_64Bit (da0a37df-8483-4cb9-8f24-ff7db31ffdf7);8;100;2;4;1;26;0;0;1;0
121851_WINSRV_2012_R2_STANDARD_64 (778d3ead-1a91-47e0-aca2-dc824d0db283);4;97;0;1;22;97;13;3;4;2
121993_cl.dns1.ifxnetworks.com;8;72;0;4;3;249;33;52;147;152
122125_CENTOS_SERVER_6.5_64Bits_Restore;2;100;1;2;1;492;3;878;4;9659
100109_PHARMA_EXPRESS_SAS_OPEN_SUSE_13.1;24;100;0;4;9;835;5;7;69;47
100180_UBUNTU_SERVER_12.04_LTS_64BITS_test_desarrollo;4;15;0;2;0;0;0;0;0;0
1003693_SUSE_LINUX_ENTERPRISE_SERVER_12_SP3_64Bits;128;6;0;4;2;188;0;0;0;1
1005496_SUSE_LINUX_ENTERPRISE_SAP_12_SP3_64Bits;32;22;0;8;0;117;0;2;0;0
100854_SERFIN_Contardocloud_0501 (4a8d63ab-3db8-4ae2-b129-a495c60fae2b);8;100;0;8;84;6410;33;12;17;8
102074_PRICEWATERHOUSECOOPERS_AG_LTDA_WIN (f4fca112-a368-439e-8171-d389dbe6e589);24;100;3;4;37;1201;866;433;196;85
102074_PRICEWATERHOUSECOOPERS_AG_LTDA_WIN_PRUEBASHAIR;24;35;1;4;1;224;0;0;0;0
104140_SOCIEDAD_NACIONAL_DE_MINERIA_FG_CE (bec266b0-c22c-42aa-8d2b-eb4e45a08358);3;96;0;1;81;583;13;13;239;82
106504_FIBERTEX_CORPORATION_WIN_2012 (42435bac-3bff-4650-8e20-6618c493a039);8;100;0;2;15;265;108;73;3094;1020
106504_FIBERTEX_CORPORATION_WIN_2012 (6a6f7fcb-553b-4c5c-9cc8-f7dba8cfdfe1);8;100;1;2;79;1378;384;89;11011;2369
107483_PUENTE_DEBIAN_7.2_64Bits (850f281b-66b4-440f-90c7-d27bf90322c0);2;99;0;2;0;38;6;460;5;12
108466_PARKING_DEV_SIP_NEW;10;100;0;4;59;1360;10;3;53;21
108965_SOPORTE_SA_WIN_SERVER_2012_STD_040618;6;100;1;3;8;728;1;122;17;100
109430_WINDOWS_SERVER_2012_R2_STAND (534554bc-d90a-4c74-89c3-92cc428b2809);24;100;1;8;21;1637;111;66;37;14
111177_WINDOWS_SERVER_2012_R2_STAND_08102 (f0a0ec92-81a4-4da0-babd-60592082e5d9);12;81;3;8;1;9;0;0;0;0
111177_WINDOWS_SERVER_2012_R2_STAND_08102 (f0a0ec92-81a4-4da0-babd-60592082e5d9);36;98;2;8;32;1873;195;66;552;1168
111216_WINDOWS_SERVER_2012_STANDARD (42df0759-fd32-45b2-9b6b-821366ecd5ec);8;100;1;4;7;912;106;71;32;28
114090_WINDOWS_2008_STANDARD_x86_NEW (54617fec-2260-4202-a3af-d8b993177441);8;50;0;6;18;873;95;64;21;8
115287_EXPRESS_VPN_LLC_UBUNTU_14 (7618f19c-7657-4694-88ab-97b6e30f4e7b);4;96;0;2;56;386;2674;732;2753;751
115292_EXPRESS_VPN_LLC_UBUNTU_14 (a2bbc298-c7ee-4a3f-88bb-66a239f6e0ed);4;95;0;2;65;301;2325;641;2396;646
115876_WINDOWS_SERVER_2012_R2_ST_15%2f04%2f2019;14;92;1;4;16;363;157;114;22;22
115877_WINDOWS_SERVER_2012_R2_15112018;8;95;1;4;113;1342;26;77;420;131
115879_WINDOWS_SERVER_2012_R2_STAND (f0da9060-7d0c-40da-962a-4959f7cf93be);26;100;0;6;24;1006;595;250;213;184
117125_PARKING_PRD_SIP;44;100;2;12;24;820;29;8;34;14
117125_PARKING_PRD_SIP_test;30;17;0;8;17;0;0;0;0;0
118197_FUNDACION_PLAN_WIN_2012_STD (2cd66424-5cb4-4431-8c71-609730c4e752);32;100;3;8;11;612;130;65;225;476
118837_FUNDACION_PLAN_WIN_2008_STD_64Bits (a91c0586-ca69-4741-b5f7-3a76ffbee8c4);4;100;0;2;6;97;0;2;1;3
120216_vShield_Manager_Peru;8;100;0;2;2;116;1;48;3;2
120220_COBOGWBPPV02;16;98;2;8;11;736;44241;18584;16394;10759
120263_dactool.ifxnetworks.com (63c254e6-5336-402f-be58-ec5b14155b49);8;50;0;8;17;1182;9;16;103;50
120263_GLPI (71346772-a230-4a44-abbd-2e885f5072c4);6;97;0;4;1;13;2;2;26;11
122341_ICONOCIMIENTO_ORIGINAL (cc976805-d3c7-4c31-8a79-fd4cf1fbcd61);12;99;0;8;1;148;11;3;221;102
123035_FTP (ce98126e-49d3-45cc-a27e-38abcc501064);4;97;1;4;0;2;8;2;0;0
123100_TURRISYSTEM_CENTO_APP_S_6.6 (ffeb74c0-d885-4f4f-8c05-792d7c011849);16;97;2;2;36;692;1677;687;542;201
125109_INSTITUTO_CENTOS_SERVER (01a94889-8b27-41f5-b2d3-8e1062760c86);4;97;0;4;1;173;0;2;16;22
126395_FUNDACION_PLAN_WIN_2012_STD (470888c6-67b5-4638-bee5-5e7fd0036818);12;100;0;6;8;417;495;658;962;523
126409_FUNDACION_PLAN_WIN_2012_STD (5ac8609e-96fc-4569-bd64-fbd3e1d9238e);8;100;0;4;11;345;14;5;21;16
126495_TURRISYSTEM_CENTOS_6.6 (07d602f5-9374-4f10-babf-f54806fa73d5);8;98;0;2;113;1771;414;136;1704;696
126991_WINDOWS_SERVER_2012_R2_STAND (6e5f669f-0b61-48f8-abe2-ffd34fa35fa8);6;100;0;4;41;1445;6;8;12;70
128903_PRD-APP04-01 (71f0fe43-2bfc-4bcd-b16a-12064c394d22);20;99;1;6;43;2810;74;147;91;95
130158_WINDOWS_SERVER_2008_ENT_240618;4;100;0;4;71;2269;20;11;323;192
130190_PRD-MNG01-01 (2dc1d101-c684-441e-b7f3-5b10f7207c75);8;99;0;1;7;201;1;9;1;0
130195_STG-APP01-02 (e700cc56-ceb6-4bad-b3f1-364212a195e4);24;99;0;4;5;195;4;41;57;63
130198_STG-APP03-02 (c0ac8655-d1c2-4491-a8c0-a4705c5d4ac2);30;100;0;6;6;769;46;29;96;156
130504_MENOCASH_CENTOS (3d1d7a6a-8b72-4c4b-8bc4-489934cec91c);4;93;0;2;2;14;6;4;3;2
130815_UNILLANOS_WIN_2008_R2 (bdc92b72-8366-4eb3-9edd-ecc5c6e6b42a);4;100;0;8;1;53;1;37;2;4
131043_NSX Manager 6.5;16;99;2;4;7;78;4;1;4;13
131089_ELECTRICOS_UBUNTU (aeb20ec5-b556-49ad-ab42-6f5a34423531);48;100;3;16;52;3853;54;26;136;254
131538_NSX_Manager_MIA;8;100;2;4;9;46;24;2;5;0
131538_UI VM;11;99;0;4;1;8;3;1;0;0
131538_VCENTER _MIA_6.5;10;100;0;2;23;252;12;3;10;6
132207_Express_VPN_Ubuntu (bb4276f5-5e52-4628-a08a-6948b890a201);16;38;1;2;7;82;436;132;13;4
132250_NSX Manager TMK ORACLE 1;16;57;2;2;6;71;18;6;64;21
132250_NSX_Manager_TMK;16;93;1;4;4;38;54;10;9;1
132250_NSX_Manager_TMK_6.5_QnQ;16;83;1;4;7;59;12;2;10;27
132250_Oracle_VM_Manager;24;58;2;8;20;1173;3;7;4;66
132736_CPP_TESTING_WIN_2012_R2_STD_0928;16;100;1;8;44;2576;183;249;177;183
133706_C&M_NEW_OWNCLOUD (e096d6be-5ab8-4e59-b0b5-65f7c27b562b);4;98;0;2;0;2;0;0;0;0
135726_PUENTE_FISICO_TEMP (93214c84-3bb7-4471-941e-ed75cf725079);4;39;0;4;0;1;0;0;0;0
139366_CPP_TESTING_WIN_2012_R2_STD (ce04b794-1e81-463e-8c86-5cf6c4744b40);4;100;0;2;2;33;7;165;2;174
139367_CPP_TESTING_WIN_2012_R2_STD_0928 (a4c93435-d65d-4552-9cfe-2366c9ac2324);8;100;0;2;9;119;70;65;155;237
141002_PARKING_REPOSITORIO (04194be4-7066-49f1-aecb-773241b4878e);8;100;0;4;32;1037;53;305;64;87
141866_TXT_WIN_2012_R2_STD (d7c8aa71-94f6-4903-b8be-49a717b3e6a1);8;100;0;4;3;105;6;3;29;41
120990_DB1_ASPECT_REDHAT_ENTERPRISE;8;99;0;8;4;188;372;87;1252;299
121159_DACTOOL-CLIENTES (2178118a-d338-48d2-9303-3da0b249380c);2;94;0;1;0;26;1;0;0;0
121851_CENTOS_7.6 (4b3634ea-b7bf-4afe-b07c-dd1ed73f4d2b);4;91;1;4;0;4;0;0;0;1
121851_FEDEPALMA_CENTOS_7.6_11042019;8;60;0;4;0;0;0;0;0;0
121851_FEDEPALMA_REDHAT3;14;17;0;4;4;76;0;0;1;3
121851_FEDEPALMA_WIN_2012_STD_64Bits_restore;4;100;0;4;2;21;0;0;0;0
121851_FEDEPALMA_WIN_SRV2012STD_NNEW (152c966d-87ab-49a8-9fbd-d94510118110);2;100;0;1;4;105;6;4;0;0
121851_FEDEPALMA_WINDOWS2 (e309ce87-1b45-4788-bf45-4fc711f34f29);4;100;0;2;72;1274;11;60;1;11
121993_cl.dns0.ifxnetworks.com;8;86;1;4;9;248;127;41;1879;616
122444_INDUSTRIAS_INCA_SA_WIN_2008_STD (3ca28193-9e62-48f2-a6b1-d89c08910de4);16;25;1;8;98;5589;3;2;7;82
126405_FUNDACION_PLAN_WIN_2012_STD (dbde36ef-a194-47b9-b9b1-26f1d5a9ebd9);20;99;1;4;33;680;44;543;31;33
127072_WINDOWS_SERVER_2008_R2_STANDARD_SP (19c290b0-2237-4663-a5ac-bd22194164ae);4;100;0;2;4;69;5;26;7;39
129287_CENTOS_SERVER_6.5_64Bits (af0ca11d-f852-4b54-9eaf-b260d49a6ce7);8;98;0;4;1;15;0;0;0;0
130197_STG-MNG01-02 (b6dfd49a-8f86-4d4f-8591-0009de09c973);8;99;0;1;3;39;0;14;1;0
130207_192.168.10.5_NAVEGA_WIN_2008_x32 (fdeaf116-5a90-4914-abb5-d992a3b9ac44);10;100;0;2;25;257;0;4;4;119
130817_UNILLANOS_CENTOS_6.6_64Bits (c1b9197b-aa42-4482-8e1f-5cd429ac1947);4;52;0;8;0;24;0;1;0;0
131154_GPON (5a563962-d624-4e73-8f05-6f45b122eec8);2;46;0;6;0;3;0;0;0;0
131455_192.168.10.6_NAVEGA_WIN_2008 (077830e2-19c3-426a-9e6c-d5a059ba4426);10;86;0;2;108;25;0;1;0;37
132250_NSX Manager TMK;8;76;1;2;6;102;46;139;8;13
132250_vCloud_Director_CO_Cell_2;4;99;0;4;2;69;29;91;11;15
132250_vCloud_Director_CO_Cell_2_CLONE_UPGRADE;4;44;0;4;4;52;8;1234081;0;1363886
